country_scope,flow_case,tab,section,fieldname,label,fieldtype,options,depends_on,reqd,read_only,in_list_view,implementation_status,notes
SHARED,ALL,Details,Application Information,student,Student,Link,Student,,1,0,1,LIVE,
SHARED,ALL,Details,Application Information,student_email,Student Email,Text,,,0,0,1,LIVE,
SHARED,ALL,Details,Application Information,student_contact_no,Student Contact No,Phone,,,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,agent,Agent,Link,User,eval:doc.application_type == 'B2B' || doc.application_type == 'B2C',0,1,1,LIVE,
SHARED,ALL,Details,Application Information,destination_country,Destination Country,Link,Country,,1,0,1,LIVE,
SHARED,ALL,Details,Application Information,assigned_team,Assigned Team,Link,Team,,0,1,0,LIVE,
SHARED,ALL,Details,Application Information,assigned_executive,Assigned Executive,Link,User,,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,application_type,Application Type,Select,B2B,,1,1,1,LIVE,
SHARED,ALL,Details,Application Information,status,Status,Select,Pending | Processing | Offer Letter Received | Financial | GS Processing | GS Approved | Acceptance | COE | File Lodged | Visa | Enrollment | On Shore College change | Visa Refused | Closed,,1,0,1,LIVE,
SHARED,ALL,Details,Application Information,higher_education,Qualification,Select, | 12th pass | Bachelors | Diploma | Masters | Certification | Others | Graduation,,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,preferred_university,Preferred University,Link,University,,0,0,1,LIVE,
SHARED,ALL,Details,Application Information,intake,Intake,Select, | January | February | March | April | May | June | July | August | September | October | November | December,,1,0,0,LIVE,
SHARED,ALL,Details,Application Information,naming_series,Series,Select,APP-.YYYY.-,,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,dob,DOB,Date,,,1,0,0,LIVE,
SHARED,ALL,Details,Application Information,martial_status,Martial Status,Select, | Married | Single,,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,current_age,Age (as of now),Int,,,0,1,0,LIVE,
SHARED,ALL,Details,Application Information,any_visa_refused,Refused from Aus/NZ,Check,,,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,visa_refused_not_able_to_process,Status,Text,,eval:doc.any_visa_refused == 1,0,1,0,LIVE,
SHARED,ALL,Details,Application Information,visa_refused_ok,Status,Text,,eval:doc.any_visa_refused == 0,0,1,0,LIVE,
SHARED,ALL,Details,Application Information,study_gap,Study Gap,Check,,,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,study_gap_proof,Study Gap Proof,Table,student documents,eval:doc.study_gap == 1,0,0,0,LIVE,
SHARED,ALL,Details,Application Information,study_gap_ok,Status,Text,,eval:doc.study_gap == 0,0,1,0,LIVE,
SHARED,ALL,Details,section_break_dkel,preferred_courses,Preferred Course,Table,Application Course,,0,0,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_spouse_qualification,Spouse qualification,Select, | Graduate or above Graduation | Below Graduate,eval:doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,0,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_marriage_duration,Marriage Duration,Select, | 1 year or above | Below 1 year,eval:doc.case_4_spouse_qualification == 'Graduate or above Graduation' && doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,0,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_proceed_below_graduate,Student wants to proceed (Below Graduate),Select, | on single basis | Don’t want to procced,eval:doc.case_4_spouse_qualification == 'Below Graduate' && doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,0,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_proceed_below_1_year,Student wants to proceed (Below 1 year),Select, | on single basis | wait to complete one year,eval:doc.case_4_marriage_duration == 'Below 1 year' && doc.case_4_spouse_qualification == 'Graduate or above Graduation' && doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,0,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_proceed_above_1_year,Student wants to proceed (1 year or above),Select, | On single basis | with Spouse,eval:doc.case_4_marriage_duration == '1 year or above' && doc.case_4_spouse_qualification == 'Graduate or above Graduation' && doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,0,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_note_wait,Instruction,Data,,eval:doc.case_4_proceed_below_1_year == 'wait to complete one year' && doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,1,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_note_convince,Instruction,Data,,eval:doc.case_4_proceed_below_graduate == 'Don’t want to procced' && doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,1,0,LIVE,
AU,AU Case 4 Spouse,Details,Case 4: Spouse Details,case_4_close_reason,Close Case Reason,Small Text,,eval:doc.case_4_proceed_below_graduate == 'Don’t want to procced' && doc.higher_education == 'Graduation' && doc.martial_status == 'Married',0,0,0,LIVE,
AU,AU Default,Processing,A. Our Email Id,is_package_case,Package Case,Check,,,0,0,0,LIVE,
AU,AU Default,Processing,A. Our Email Id,data_swym,Our Email Id,Text,,,0,0,0,LIVE,
AU,AU Default,Processing,A. Our Email Id,recovery_email_id,Recovery Email Id,Text,,,0,0,0,LIVE,
AU,AU Default,Processing,A. Our Email Id,password,Password,Password,,,0,0,0,LIVE,
AU,AU Default,Processing,A. Our Email Id,login_contact_no,Login Contact No,Phone,,,0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,twelfth_admit_card_uploaded,12th Admit Card Uploaded,Check,,eval:doc.higher_education == '12th pass',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,documents_10th_to_12th,Documents (10th to 12th)/Graduation,Table,Application Documents 10th To 12th,eval:doc.higher_education == '12th pass',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,documents_verified,Documents Verified,Check,,eval:doc.higher_education == '12th pass',0,0,0,LIVE,
AU,AU Default,Processing,B. Documents 10th to 12th to Diploma,documents_verified_pdf,Upload in Single PDF,Table,student documents,eval:doc.documents_verified == 1 && doc.higher_education == '12th pass',0,0,0,LIVE,
